Model,ROC_AUC,Recall,F1_Score,Precision,Accuracy
Random Forest,0.6984809660130048,0.08337470214455918,0.14342136162763391,0.5125896535937738,0.8001066151194189
Logistic Regression,0.6919249377913581,0.6680401111993646,0.41581435590025645,0.30184827957471627,0.6232401032273492
Decision Tree,0.6914535458422137,0.1483071882446386,0.223925345725743,0.45687413977672425,0.79366486981995
